Community,County,per,% Valuation,Rate,Equalizer
Greenview,Menard,$100.00,33.30%,7.85%,1
Greenville,Bond,$100.00,33.30%,9.19%,1
Gulfport,Henderson,$100.00,33.30%,9.17%,1
Gurnee,Lake,$100.00,33.30%,7.08%,1.0199
Hamilton,Hancock,$100.00,33.30%,8.13%,1
Hampshire,Kane,$100.00,33.30%,7.14%,1
Hanover,Jo Daviess,$100.00,33.30%,7.96%,1
Hanover Park,Cook,$100.00,10.00%,6.14%,2.9706
Harrisburg,Saline,$100.00,33.30%,9.56%,1
Harristown,Macon,$100.00,33.30%,7.62%,1
Hartford,Madison,$100.00,33.30%,8.71%,1
Harvard,Mchenry,$100.00,33.30%,10.07%,1
Harvey,Cook,$100.00,10.00%,15.28%,2.9706
Havana,Mason,$100.00,33.30%,11.57%,1
Hazel Crest,Cook,$100.00,10.00%,12.83%,2.9706
Hennepin,Putnam,$100.00,33.30%,6.47%,1
Henry,Marshall,$100.00,33.30%,5.53%,1
Herrin,Williamson,$100.00,33.30%,6.05%,1
Heyworth,Mclean,$100.00,33.30%,8.39%,1
Hickory Hills,Cook,$100.00,10.00%,9.39%,2.9706
Highland,Madison,$100.00,33.30%,8.12%,1
Highland Park,Lake,$100.00,33.30%,5.71%,1.0199
Highwood,Lake,$100.00,33.30%,0.00%,1.0199
Hillsboro,Montgomery,$100.00,33.30%,8.10%,1
Hillsdale,Rock Island,$100.00,33.30%,7.46%,1
Hinckley,Dekalb,$100.00,33.30%,7.31%,1
Hoffman Estates,Cook,$100.00,10.00%,7.05%,2.9706
Homer Glen,Will,$100.00,33.30%,6.43%,1
Hometown,Cook,$100.00,10.00%,1.24%,2.9706
Homewood,Cook,$100.00,10.00%,10.75%,2.9706
Hoopeston,Vermilion,$100.00,33.30%,9.89%,1
Hooppole,Henry,$100.00,33.30%,7.98%,1
Hopedale,Tazewell,$100.00,33.30%,7.37%,1
Huntley,Mchenry,$100.00,33.30%,8.02%,1
Illiopolis,Sangamon,$100.00,33.30%,7.82%,1
Island Lake,Mchenry,$100.00,33.30%,7.49%,1
Itasca,Dupage,$100.00,33.30%,6.24%,1.059
Jerseyville,Jersey,$100.00,33.30%,6.64%,1
Johnsburg,Mchenry,$100.00,33.30%,6.25%,1
Johnston City,Williamson,$100.00,33.30%,8.19%,1
Joliet,Will,$100.00,33.30%,7.96%,1
Jonesboro,Union,$100.00,33.30%,6.96%,1
Joppa,Massac,$100.00,33.30%,6.67%,1
Joy,Mercer,$100.00,33.30%,9.36%,1
Kampsville,Calhoun,$100.00,33.30%,0.00%,1
Kankakee,Kankakee,$100.00,33.30%,6.85%,1
Karnak,Pulaski,$100.00,33.30%,9.31%,1
Keithsburg,Mercer,$100.00,33.30%,8.49%,1
Kewanee,Henry,$100.00,33.30%,10.60%,1
Kincaid,Christian,$100.00,33.30%,7.36%,1
Kingston,Dekalb,$100.00,33.30%,7.50%,1
Kinmundy,Marion,$100.00,33.30%,7.16%,1
Kinsman,Grundy,$100.00,33.30%,8.47%,1
Kirkland,Dekalb,$100.00,33.30%,8.67%,1
La Grange,Cook,$100.00,10.00%,7.56%,2.9706
La Grange Park,Cook,$100.00,10.00%,6.71%,2.9706
La Harpe,Hancock,$100.00,33.30%,10.10%,1
La Salle,Lasalle,$100.00,33.30%,8.84%,1
Lacon,Marshall,$100.00,33.30%,8.57%,1
Ladd,Bureau,$100.00,33.30%,9.68%,1
Lake Forest,Lake,$100.00,33.30%,3.84%,1.0199
Lake In The Hills,Mchenry,$100.00,33.30%,6.96%,1
Lake Zurich,Lake,$100.00,33.30%,6.00%,1.0199
